timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
8596000,8504000,0.09023857,0.09023856,0.20273782,1.125007,1.125007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.344971,0.0,0.0,nan,0.0,0.0,0.09334199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9092000,9000000,0.09021662,0.09021663,0.20271727,1.1111181,1.1111181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3387785,0.0,0.0,nan,0.0,0.0,0.09313716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9596000,9516000,0.090205394,0.090205394,0.2026976,1.1000069,1.1000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333344,0.0,0.0,nan,0.0,0.0,0.09293976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10096000,10012000,0.090198286,0.09019829,0.2027006,1.0909165,1.0909165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.329044,0.0,0.0,nan,0.0,0.0,0.09278262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10592000,10508000,0.090156734,0.09015674,0.20265901,1.0769308,1.0769308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.325167,0.0,0.0,nan,0.0,0.0,0.092640884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11096000,11012000,0.090137474,0.090137474,0.20263955,1.0714366,1.0714366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321234,0.0,0.0,nan,0.0,0.0,0.09249163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11592000,11508000,0.09011889,0.090118885,0.2026207,1.0666751,1.0666751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.318069,0.0,0.0,nan,0.0,0.0,0.09238294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12096000,12012000,0.09009205,0.090092055,0.20259334,1.058832,1.058832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.314835,0.0,0.0,nan,0.0,0.0,0.092282556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12592000,12508000,0.090634756,0.0906347,0.20316057,1.0556082,1.0556082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.312377,0.0,0.0,nan,0.0,0.0,0.09218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13096000,13012000,0.0914234,0.09142339,0.20396678,1.052947,1.052947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.310709,0.0,0.0,nan,0.0,0.0,0.092093475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13592000,13508000,0.09386724,0.09386747,0.2062483,1.0501637,1.0501636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.310336,0.0,0.0,nan,0.0,0.0,0.09201226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14096000,14012000,0.09557241,0.09557065,0.20767319,1.0505496,1.0505496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.312112,0.0,0.0,nan,0.0,0.0,0.09193376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14592000,14508000,0.097614594,0.09759874,0.20923148,1.0524031,1.0524025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.317162,0.0,0.0,nan,0.0,0.0,0.09186709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15096000,15012000,0.09974528,0.0997431,0.21087395,1.0557699,1.0557674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.324884,0.0,0.0,nan,0.0,0.0,0.09180485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15592000,15508000,0.10357075,0.10355978,0.21404634,1.0659125,1.0659108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333717,0.0,0.0,nan,0.0,0.0,0.09174321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16096000,16012000,0.10512456,0.105110094,0.21552911,1.072443,1.0724424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.348372,0.0,0.0,nan,0.0,0.0,0.091683105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16592000,16508000,0.10567016,0.10565712,0.21682566,1.0791515,1.0791514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363544,0.0,0.0,nan,0.0,0.0,0.09708172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17096000,17012000,0.11900831,0.11899571,0.21779093,1.0850601,1.08506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.382006,0.0,0.0,nan,0.0,0.0,0.09457433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17592000,17508000,0.15713832,0.15713564,0.21915025,1.0952474,1.0952461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.391195,0.0,0.0,nan,0.0,0.0,0.09338686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18096000,18012000,0.1553519,0.15535176,0.21956119,1.0991145,1.0991131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4082365,0.0,0.0,nan,0.0,0.0,0.09269916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18592000,18508000,0.14945613,0.14945528,0.21978049,1.1033899,1.1033885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421009,0.0,0.0,nan,0.0,0.0,0.09225451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19096000,19012000,0.14184394,0.14184417,0.21981286,1.1066768,1.1066757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.436839,0.0,0.0,nan,0.0,0.0,0.091947556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19592000,19508000,0.12974806,0.12975562,0.21979016,1.1117942,1.1117936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.436189,0.0,0.0,nan,0.0,0.0,0.09172424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20096000,20012000,0.1253013,0.1253112,0.219635,1.1137228,1.1137224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.445269,0.0,0.0,nan,0.0,0.0,0.09155867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20592000,20508000,0.12113728,0.121147715,0.21946715,1.1154321,1.1154318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.455446,0.0,0.0,nan,0.0,0.0,0.09143386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21096000,21012000,0.11813271,0.11814054,0.21930279,1.1166806,1.1166801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461057,0.0,0.0,nan,0.0,0.0,0.09132438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21592000,21508000,0.11395452,0.11396561,0.21922837,1.1184198,1.1184196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.456272,0.0,0.0,nan,0.0,0.0,0.09126289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22092000,22004000,0.11230426,0.11250219,0.21913747,1.1190262,1.1190294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.459904,0.0,0.0,nan,0.0,0.0,0.09120466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22588000,22500000,0.110852525,0.111641765,0.2190271,1.1190358,1.1190449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46488,0.0,0.0,nan,0.0,0.0,0.09115369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23096000,23016000,0.10986763,0.11159909,0.21904458,1.1198617,1.1198709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46804,0.0,0.0,nan,0.0,0.0,0.09114355,0.0029195675,0.0029549873,0.0029546074,0.0,0.0,0.0,0.0,0.0,0.0
23592000,23512000,0.108374536,0.111022994,0.21928339,1.1203551,1.1203631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461457,0.0,0.0,nan,0.0,0.0,0.09114355,0.0027093096,0.002718895,0.0027187425,0.0,0.0,0.0,0.0,0.0,0.0
24096000,24016000,0.10757517,0.10946857,0.21951339,1.1199814,1.1200167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464869,0.0,0.0,nan,0.0,0.0,0.09114355,0.002625831,0.0026392303,0.0026392029,0.0,0.0,0.0,0.0,0.0,0.0
24592000,24512000,0.1070597,0.10793711,0.21966682,1.1200039,1.1201015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.466366,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025972405,0.002624083,0.0026241792,0.0,0.0,0.0,0.0,0.0,0.0
25096000,25016000,0.106771074,0.10722737,0.21987422,1.1203681,1.1205454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.468919,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025774075,0.0026204083,0.002620599,0.0,0.0,0.0,0.0,0.0,0.0
25592000,25512000,0.10645399,0.11094921,0.22004533,1.1200744,1.1202692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461212,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025650654,0.0026108883,0.0026110644,0.0,0.0,0.0,0.0,0.0,0.0
26096000,26016000,0.1064898,0.114634335,0.22003461,1.1198618,1.119987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.463388,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025558711,0.0025870765,0.002587128,0.0,0.0,0.0,0.0,0.0,0.0
26592000,26512000,0.10654758,0.11702058,0.22007789,1.1192474,1.1193281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465502,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025511282,0.002565774,0.002565691,0.0,0.0,0.0,0.0,0.0,0.0
27096000,27016000,0.10682319,0.11730774,0.2200427,1.1194928,1.1196287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.467997,0.0,0.0,nan,0.0,0.0,0.09114355,0.00254701,0.0025457176,0.002545374,0.0,0.0,0.0,0.0,0.0,0.0
27592000,27512000,0.107165575,0.111694954,0.21992312,1.1191224,1.1196823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461212,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025435667,0.0025388435,0.002538153,0.0,0.0,0.0,0.0,0.0,0.0
28096000,28016000,0.107261166,0.10875399,0.22005428,1.1189808,1.1198022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.463131,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025405006,0.0025455148,0.002544511,0.0,0.0,0.0,0.0,0.0,0.0
28592000,28512000,0.1072714,0.107311204,0.21999212,1.1184709,1.1194495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465387,0.0,0.0,nan,0.0,0.0,0.09114355,0.002537534,0.0025557682,0.0025546306,0.0,0.0,0.0,0.0,0.0,0.0
29096000,29016000,0.10746763,0.108040914,0.22003685,1.1188331,1.1198059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.467433,0.0,0.0,nan,0.0,0.0,0.09114355,0.0025352102,0.0025548707,0.0025537356,0.0,0.0,0.0,0.0,0.0,0.0
