timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
8688000,8688000,908000,47.3977508,8.5456073,-0.0005320516,0.007746297,0.024429549,2.5823436e-05,0.0073877177,0.0,-0.0006575696,-0.0029648312,-4.8303616e-05,-0.0014358781,0.0008346232,-0.00024752718,-0.010746645,0.0005750334,-0.015777128,0.005992129,1.6201061,0.0024111874,488.08807,0.1,0.47141692,0.30350718,0.020343613,0.014390419,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
9184000,9184000,908000,47.3977508,8.5456073,-0.0011450498,0.008190667,0.02337087,2.5823436e-05,0.0073877177,0.0,-0.0015159606,0.0004256429,0.0004979986,-0.0007146523,0.0008346232,-0.00024752718,-0.010746645,-0.025235465,0.0099805035,-0.026627442,1.6202613,0.0024111874,488.08807,0.1,0.44722503,0.29373088,0.01077945,0.007636746,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
9688000,9688000,908000,47.3977508,8.5456073,-0.0024235805,0.008860819,0.021812888,2.5823436e-05,0.0073877177,0.0,-0.0032646845,0.00016736945,-9.7059106e-05,-0.002277264,0.0008346232,-0.00024752718,-0.010746645,0.025210377,0.024738532,-0.019303521,1.6194724,0.0024111874,488.08807,0.1,0.426417,0.28579405,0.017684406,0.012567825,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
10184000,10184000,908000,47.3977508,8.5456073,-0.0017025946,0.009198948,0.021374391,2.5823436e-05,0.0073877177,0.0,-0.0024898506,0.0026496963,-0.00057638163,-0.0020784528,0.0008346232,-0.00024752718,-0.010746645,0.041605815,0.0008744682,0.00077579165,1.6198217,0.0024111874,488.08807,0.10015306,0.39224756,0.27758884,0.0058073453,0.0041102935,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
10688000,10688000,908000,47.3977508,8.5456073,-0.0009258716,0.009186541,0.019424887,2.5823436e-05,0.0073877177,0.0,0.0013168965,0.00064027694,0.00041614857,-0.0015990882,0.0008346232,-0.00024752718,-0.010746645,-0.0038115976,0.019712199,0.014659016,1.6200279,0.0024111874,488.08807,0.1,0.37798288,0.27086082,0.014822336,0.010546335,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
11184000,11184000,908000,47.3977508,8.5456073,-0.0002768318,0.009083185,0.020494003,2.5823436e-05,0.0073877177,0.0,0.00090666866,0.0014338591,-0.00061089965,-0.0009445813,0.0008346232,-0.00024752718,-0.010746645,-0.02491119,-0.029144531,-0.005229376,1.6189504,0.0024111874,488.08807,0.101602614,0.36517382,0.26460245,0.020139359,0.0143925715,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
11688000,11688000,908000,47.3977508,8.5456073,-0.00083401613,0.0087810075,0.020519774,2.5823436e-05,0.0073877177,0.0,-0.0017939449,-0.0002557571,-0.00027759286,-0.00015995641,0.0008346232,-0.00024752718,-0.010746645,0.0051873648,-0.010381685,0.0115614375,1.6183594,0.0024111874,488.08807,0.1003871,0.35357782,0.2580494,0.011508399,0.008179407,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
12184000,12184000,908000,47.3977508,8.5456073,-0.00075357367,0.008368556,0.020078473,2.5823436e-05,0.0073877177,0.0,-0.00019756562,0.0024956132,0.0011918899,0.00021448662,0.0008346232,-0.00024752718,-0.010746645,-0.015976924,0.020456105,0.011825933,1.61795,0.0024111874,488.08807,0.10013867,0.3334034,0.2526489,0.02912045,0.020978428,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
12688000,12688000,908000,47.3977508,8.5456073,0.0007904795,0.008855892,0.01943245,2.5823436e-05,0.0073877177,0.0,0.0044234837,0.0008863248,0.0036409623,0.0017464187,0.0008346232,-0.00024752718,-0.010746645,-0.008459915,0.027706962,-0.008222646,1.6167018,0.0024111874,488.08807,0.1007847,0.3253128,0.24747267,0.051899012,0.037313122,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
13184000,13184000,908000,47.3977508,8.5456073,0.0039278106,0.0097957915,0.02029182,2.5823436e-05,0.0073877177,0.0,0.009086122,0.0019039179,0.0076196482,0.0052630464,0.0008346232,-0.00024752718,-0.010746645,-0.0058815638,-0.0021459998,0.014074146,1.6154217,0.0024111874,488.08807,0.1,0.31228262,0.24477708,0.07246255,0.051564645,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
13688000,13688000,908000,47.3977508,8.5456073,0.0076555707,0.010335378,0.01694233,2.5823436e-05,0.0073877177,0.0,0.00416182,-0.0049535492,-0.04394195,-0.047085207,0.0008346232,-0.00024752718,-0.010746645,-0.089010686,-0.17643869,-0.22685248,1.6173173,0.0024111874,488.08807,0.10366771,0.3124804,0.24478455,0.09394813,0.06539967,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
14184000,14184000,908000,47.3977508,8.5456073,-0.0059285974,-0.024822602,-0.062241953,2.5823436e-05,0.0073877177,0.0,-0.045897268,-0.11962623,-0.29171133,-0.29426986,0.0008346232,-0.00024752718,-0.010746645,-0.035956644,-0.028581712,-0.5457801,1.6203393,0.0024111874,488.08807,0.182852,0.319603,0.2498906,0.1160017,0.078310065,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
14688000,14688000,908000,47.3977508,8.5456073,-0.036187958,-0.07836279,-0.27272546,2.5823436e-05,0.0073877177,0.0,-0.047336444,-0.076089635,-0.5294693,-0.53173476,0.0008346232,-0.00024752718,-0.010746645,0.021641418,0.16786999,-0.40804034,1.6228873,0.0024111874,488.08807,0.39333552,0.33586383,0.26087195,0.13785896,0.090642184,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
15184000,15184000,908000,47.3977508,8.5456073,-0.061497897,-0.09799928,-0.5836455,2.5823436e-05,0.0073877177,0.0,-0.0211181,0.0018105598,-0.71106184,-0.7133606,0.0008346232,-0.00024752718,-0.010746645,0.0680906,0.15380812,-0.3314372,1.6252295,0.0024111874,488.08807,0.7042556,0.34291154,0.2745206,0.14682035,0.09927994,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
15688000,15688000,908000,47.3977508,8.5456073,-0.07413212,-0.091149665,-0.9840374,2.5823436e-05,0.0073877177,0.0,0.010876365,0.052464712,-0.8595825,-0.86420304,0.0008346232,-0.00024752718,-0.010746645,0.088783406,0.09912493,-0.23591425,1.6269678,0.0024111874,488.08807,1.1046474,0.36876887,0.29520056,0.16135901,0.10879768,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
16184000,16184000,908000,47.3977508,8.5456073,-0.0750134,-0.062251877,-1.446764,2.5823436e-05,0.0073877177,0.0,0.03385594,0.08354263,-0.9682296,-0.97753304,0.0008346232,-0.00024752718,-0.010746645,0.035449963,0.00037741844,-0.21619907,1.6288421,0.0024111874,488.08807,1.567374,0.39696798,0.318764,0.17264897,0.11674475,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,0,1,1,1,0
16688000,16688000,908000,47.3977508,8.5456073,-0.07272165,-0.02262196,-1.966802,2.5823436e-05,0.0073877177,0.0,0.04785703,0.08607168,-1.0514065,-1.0645434,0.0008346232,-0.00024752718,-0.010746645,0.021381622,-0.011019452,-0.11449865,1.6285344,-0.006367456,488.08807,2.087412,0.4249801,0.34312615,0.23877883,0.12316203,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
17184000,17184000,908000,47.3977508,8.5456073,-0.07611568,-0.006978187,-2.5152779,2.5823436e-05,0.0073877177,0.0,0.047020886,0.054406278,-1.1161801,-1.1316414,0.0008346232,-0.00024752718,-0.010746645,0.054725107,-0.024575826,-0.10176654,1.6308608,-0.006367456,488.08807,2.6358879,0.4146721,0.36009505,0.2792301,0.12350417,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,0,0
17688000,17688000,908000,47.3977508,8.5456073,-0.069208615,-0.0007398374,-3.1038597,2.5823436e-05,0.0073877177,0.0,0.05353211,0.041909475,-1.1667851,-1.1856732,0.0008346232,-0.00024752718,-0.010746645,0.024471387,0.014517921,-0.11904071,1.6328835,-0.006367456,488.08807,3.2244697,0.4384502,0.38143018,0.31545347,0.12686978,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
18184000,18184000,908000,47.3977508,8.5456073,-0.043073475,0.025990434,-3.70188,2.5823436e-05,0.0073877177,0.0,0.0626138,0.048483353,-1.2055887,-1.2239108,0.0008346232,-0.00024752718,-0.010746645,-0.030329347,-0.056669507,-0.10334141,1.6331955,-0.006367456,488.08807,3.82249,0.4634374,0.40226942,0.32334304,0.1295113,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
18688000,18688000,908000,47.3977508,8.5456073,-0.0073231827,0.048571665,-4.3303967,2.5823436e-05,0.0073877177,0.0,0.050938006,0.023049336,-1.2352458,-1.2558107,0.0008346232,-0.00024752718,-0.010746645,-0.0658914,-0.05300657,-0.049065795,1.6364743,-0.006367456,488.08807,4.451007,0.4894965,0.41889104,0.31947687,0.13100797,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
19184000,19184000,908000,47.3977508,8.5456073,0.026538683,0.061363705,-4.9705544,2.5823436e-05,0.0073877177,0.0,0.030404078,0.004619363,-1.2510929,-1.280532,0.0008346232,-0.00024752718,-0.010746645,-0.08541428,-0.013936674,-0.0025872139,1.6388985,-0.006367456,488.08807,5.0911646,0.45318842,0.4236017,0.24942857,0.12711985,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
19688000,19688000,908000,47.3977508,8.5456073,0.044998664,0.067105494,-5.624532,2.5823436e-05,0.0073877177,0.0,0.004845904,-0.005835804,-1.2686944,-1.3012575,0.0008346232,-0.00024752718,-0.010746645,-0.04560575,-0.018552236,-0.026861204,1.6412216,-0.006367456,488.08807,5.7451425,0.47180215,0.4346111,0.24688473,0.12777697,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
20184000,20184000,908000,47.3977508,8.5456073,0.047066644,0.06960353,-6.2084208,2.5823436e-05,0.0073877177,0.0,-0.022751316,-0.023330828,-0.66203594,-0.69856524,0.0008346232,-0.00024752718,-0.010746645,-0.07399492,-0.10438052,3.3684049,1.6428549,-0.006367456,488.08807,6.329031,0.48875982,0.44601458,0.24125178,0.12871575,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
20688000,20688000,908000,47.3977508,8.5456073,0.04154178,0.066081606,-6.287015,2.5823436e-05,0.0073877177,0.0,-0.02986666,-0.029187392,0.065393925,0.007804935,0.0008346232,-0.00024752718,-0.010746645,0.0159209,-0.010045259,-1.2095691,1.643382,-0.006367456,488.08807,6.407625,0.50613904,0.456472,0.23600283,0.1298036,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
21184000,21184000,908000,47.3977508,8.5456073,0.03395661,0.07147854,-6.323478,2.5823436e-05,0.0073877177,0.0,-0.022720678,-0.025434416,-0.041866694,-0.08616309,0.0008346232,-0.00024752718,-0.010746645,0.02160188,-0.013853102,0.077847384,1.642688,-0.006367456,488.08807,6.4440885,0.46746483,0.44971588,0.20068416,0.12511115,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
21688000,21688000,908000,47.3977508,8.5456073,0.0015992796,0.07206797,-6.3495474,2.5823436e-05,0.0073877177,0.0,-0.25070193,-0.044765018,-0.0065403306,-0.042582147,0.0008346232,-0.00024752718,-0.010746645,-0.9825372,-0.085715406,0.084614374,1.6427857,-0.006367456,488.08807,6.4701576,0.48159292,0.45754084,0.19975927,0.12648067,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
22184000,22184000,908000,47.3977508,8.5456073,-0.23863906,0.06320807,-6.362041,2.5823436e-05,0.0073877177,0.0,-0.85416675,-0.08978789,0.002469046,-0.031632178,0.0008346232,-0.00024752718,-0.010746645,-1.4757351,-0.097375214,-0.033800486,1.6423448,-0.006367456,488.08807,6.482651,0.49460506,0.45966142,0.1996247,0.12712377,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
22688000,22688000,908000,47.3977508,8.5456073,-0.84728,0.033520754,-6.4041586,2.5823436e-05,0.0073877177,0.0,-1.638228,-0.1525567,-0.103275254,-0.14013058,0.0008346232,-0.00024752718,-0.010746645,-1.6011192,-0.16574249,-0.2760179,1.6430455,-0.006367456,488.08807,6.524769,0.5085873,0.4657111,0.20217213,0.12872864,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
23184000,23184000,908000,47.3977508,8.5456073,-1.8222345,-0.014016721,-6.506226,2.5823436e-05,0.0073877177,0.0,-2.3270767,-0.21003848,-0.25928897,-0.2900782,0.0008346232,-0.00024752718,-0.010746645,-1.1586905,-0.14792556,-0.23256241,1.642815,-0.006367456,488.08807,6.6268363,0.47106084,0.45626998,0.18162976,0.12480417,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
23688000,23688000,908000,47.3977508,8.5456073,-3.102092,-0.08304351,-6.666729,2.5823436e-05,0.0073877177,0.0,-2.705438,-0.2510967,-0.16811365,-0.21183416,0.0008346232,-0.00024752718,-0.010746645,-0.3213426,-0.088050716,0.6015505,1.6422536,-0.006367456,488.08807,6.787339,0.4830616,0.46113494,0.18321276,0.12696898,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1,0,0
