timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
8904000,1665837573606057,0,473977508,85456074,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.87249005,0,nan,nan,0.0,0,3,0,1,10
9704000,1665837574402057,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.8649306,0,nan,nan,0.0,0,3,0,1,10
10904000,1665837575606057,0,473977508,85456073,488112,488112,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.14468779,0,nan,nan,0.0,0,3,0,1,10
11904000,1665837576606057,0,473977508,85456074,488114,488114,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,0.01,3.621907,0,nan,nan,0.0,0,3,0,1,10
12704000,1665837577402057,0,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.172264,0,nan,nan,0.0,0,3,0,1,10
13904000,1665837578606057,0,473977507,85456074,488118,488118,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,-0.03,-0.04,-0.06,4.0779614,0,nan,nan,0.0,0,3,0,1,10
14704000,1665837579406057,0,473977503,85456062,488359,488359,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.12,-0.08,-0.08,-0.52,3.928736,0,nan,nan,0.0,0,3,0,1,10
15904000,1665837580606057,0,473977496,85456059,489252,489252,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,-0.01,0.06,-0.94,1.7294466,0,nan,nan,0.0,0,3,0,1,10
16704000,1665837581406057,0,473977496,85456065,490047,490047,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.01,0.04,-1.0799999,2.0003219,0,nan,nan,0.0,0,3,0,1,10
17900000,1665837582606057,0,473977500,85456073,491426,491426,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.089999996,0.07,0.07,-1.1899999,0.7958701,0,nan,nan,0.0,0,3,0,1,10
18704000,1665837583406057,0,473977507,85456079,492414,492414,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.089999996,0.08,0.04,-1.3,0.503702,0,nan,nan,0.0,0,3,0,1,10
19904000,1665837584606057,0,473977512,85456083,493955,493955,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.01,0.01,-1.3,0.9622,0,nan,nan,0.0,0,3,0,1,10
20704000,1665837585406057,0,473977512,85456084,494461,494461,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.03,0.0,0.11,3.102148,0,nan,nan,0.0,0,3,0,1,10
21904000,1665837586606057,0,473977506,85456086,494513,494513,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.35,-0.34,0.0,-0.04,3.1517155,0,nan,nan,0.0,0,3,0,1,10
22704000,1665837587406057,0,473977441,85456082,494557,494557,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.51,-1.51,-0.07,-0.08,3.19116,0,nan,nan,0.0,0,3,0,1,10
23900000,1665837588606057,0,473977192,85456061,494876,494876,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.78,-2.77,-0.19999999,-0.17,3.2145472,0,nan,nan,0.0,0,3,0,1,10
24708000,1665837589406057,0,473977000,85456036,494937,494937,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.37,-2.37,-0.22999999,0.04,3.2414255,0,nan,nan,0.0,0,3,0,1,10
25904000,1665837590606057,0,473976851,85456001,494856,494856,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.31,-0.25,-0.16,0.049999997,3.72174,0,nan,nan,0.0,0,3,0,1,10
26704000,1665837591406057,0,473976881,85455987,494804,494804,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.98999995,0.97999996,-0.06,0.03,6.2145934,0,nan,nan,0.0,0,3,0,1,10
27904000,1665837592606057,0,473977009,85455994,494751,494751,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.93,0.91999996,0.089999996,0.08,0.101054564,0,nan,nan,0.0,0,3,0,1,10
28704000,1665837593406057,0,473977035,85456006,494703,494703,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.32,-0.29999998,0.07,0.01,2.9143507,0,nan,nan,0.0,0,3,0,1,10
29904000,1665837594602057,0,473976891,85456008,494625,494625,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.1499999,-2.1499999,-0.07,0.02,3.1777208,0,nan,nan,0.0,0,3,0,1,10
30704000,1665837595402057,0,473976725,85455993,494606,494606,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.27,-2.28,-0.17,-0.01,3.2171655,0,nan,nan,0.0,0,3,0,1,10
31904000,1665837596602057,0,473976557,85455968,494579,494579,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.59999996,-0.59,-0.14999999,0.02,3.4002502,0,nan,nan,0.0,0,3,0,1,10
32704000,1665837597402057,0,473976567,85455960,494569,494569,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.78999996,0.78999996,-0.02,0.04,6.2568307,0,nan,nan,0.0,0,3,0,1,10
33904000,1665837598602057,0,473976703,85455969,494537,494537,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.3,1.3,0.099999994,0.03,0.082379535,0,nan,nan,0.0,0,3,0,1,10
34700000,1665837599402057,0,473976766,85455980,494508,494508,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.31,0.29,0.089999996,0.04,0.3080506,0,nan,nan,0.0,0,3,0,1,10
35900000,1665837600602057,0,473976681,85455981,494503,494503,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.76,-1.76,-0.06,-0.02,3.1770227,0,nan,nan,0.0,0,3,0,1,10
