timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
8268000,1310988,1310988,1310996,1311004,0,0.0036725088,0.0017583346,0.0023249527,0.0,1310988,1310988,1310996,1311004,0,0.00036754887,0.00031549757,0.00014985864,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
8272000,1310988,1310988,1310996,1311004,0,0.0038088753,0.0015933863,0.0026081381,0.0,1310988,1310988,1310996,1311004,0,0.0005478877,0.0004700627,0.00025825048,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
8468000,1310988,1310988,1310996,1311004,0,0.0063265027,0.0029304337,0.0034117312,0.0,1310988,1310988,1310996,1311004,0,0.00033364937,0.0001699116,0.00020464331,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
8668000,1310988,1310988,1310996,1311004,0,0.0023135485,0.0024158028,0.0012028669,0.0,1310988,1310988,1310996,1311004,0,0.0003740765,0.0003306902,0.0001859332,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
8868000,1310988,1310988,1310996,1311004,0,0.0048659085,0.0038456535,0.0031224277,0.0,1310988,1310988,1310996,1311004,0,0.00040467066,0.00038208856,5.9240003e-05,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
9068000,1310988,1310988,1310996,1311004,0,0.003639974,0.0033450779,0.0033972124,0.0,1310988,1310988,1310996,1311004,0,0.0005024356,0.0003181865,0.00029118682,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
9264000,1310988,1310988,1310996,1311004,0,0.0029403707,0.0025690906,0.0018231778,0.0,1310988,1310988,1310996,1311004,0,0.0005424555,0.00047629332,0.00012649831,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
9468000,1310988,1310988,1310996,1311004,0,0.0029549228,0.00082984404,0.0028197092,0.0,1310988,1310988,1310996,1311004,0,0.0003027773,0.00037950452,0.00030096454,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
9664000,1310988,1310988,1310996,1311004,0,0.0026626945,0.0014030567,0.0013876846,0.0,1310988,1310988,1310996,1311004,0,0.00030420965,0.0001637579,0.0001475656,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
9868000,1310988,1310988,1310996,1311004,0,0.0011637537,0.00050568295,0.0010294437,0.0,1310988,1310988,1310996,1311004,0,0.0004066172,0.000230832,0.00017614503,0.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
