timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
8264000,1,1,1,0,0,1,1,0,1,1,1,1,0
8768000,1,1,1,0,0,1,1,0,1,1,1,1,0
9272000,1,1,1,0,0,1,1,0,1,1,1,1,0
9776000,1,1,1,0,0,1,1,0,1,1,1,1,0
10280000,1,1,1,0,0,1,1,0,1,1,1,1,0
10784000,1,1,1,0,0,1,1,0,1,1,1,1,0
11288000,1,1,1,0,0,1,1,0,1,1,1,1,0
11792000,1,1,1,0,0,1,1,0,1,1,1,1,0
12296000,1,1,1,0,0,1,1,0,1,1,1,1,0
12800000,1,1,1,0,0,1,1,0,1,1,1,1,0
13304000,1,1,1,0,0,1,1,0,1,1,1,1,0
13808000,1,1,1,0,0,1,1,0,1,1,1,1,0
14312000,1,1,1,0,0,1,1,0,1,1,1,1,0
14816000,1,1,1,0,0,1,1,0,1,1,1,1,0
15320000,1,1,1,0,0,1,1,0,1,1,1,1,0
15824000,1,1,1,0,0,1,1,0,1,1,1,1,0
16328000,1,1,1,0,0,1,1,0,1,1,1,1,0
16832000,1,1,1,0,0,1,1,0,1,1,1,1,0
17336000,1,1,1,0,0,1,1,0,1,1,1,1,0
17840000,1,1,1,0,0,1,1,0,1,1,1,1,0
18344000,1,1,1,0,0,1,1,0,1,1,1,1,0
18848000,1,1,1,0,0,1,1,0,1,1,1,1,0
19352000,1,1,1,0,0,1,1,0,1,1,1,1,0
19856000,1,1,1,0,0,1,1,0,1,1,1,1,0
20360000,1,1,1,0,0,1,1,0,1,1,1,1,0
20864000,1,1,1,0,0,1,1,0,1,1,1,1,0
21368000,1,1,1,0,0,1,1,0,1,1,1,1,0
21872000,1,1,1,0,0,1,1,0,1,1,1,1,0
22376000,1,1,1,0,0,1,1,0,1,1,1,1,0
22880000,1,1,1,0,0,1,1,0,1,1,1,1,0
23384000,1,1,1,0,0,1,1,0,1,1,1,1,0
23888000,1,1,1,0,0,1,1,0,1,1,1,1,0
24392000,1,1,1,0,0,1,1,0,1,1,1,1,0
24896000,1,1,1,0,0,1,1,0,1,1,1,1,0
25400000,1,1,1,0,0,1,1,0,1,1,1,1,0
25904000,1,1,1,0,0,1,1,0,1,1,1,1,0
26408000,1,1,1,0,0,1,1,0,1,1,1,1,0
26912000,1,1,1,0,0,1,1,0,1,1,1,1,0
27416000,1,1,1,0,0,1,1,0,1,1,1,1,0
27920000,1,1,1,0,0,1,1,0,1,1,1,1,0
28424000,1,1,1,0,0,1,1,0,1,1,1,1,0
28928000,1,1,1,0,0,1,1,0,1,1,1,1,0
29432000,1,1,1,0,0,1,1,0,1,1,1,1,0
29936000,1,1,1,0,0,1,1,0,1,1,1,1,0
30440000,1,1,1,0,0,1,1,0,1,1,1,1,0
30944000,1,1,1,0,0,1,1,0,1,1,1,1,0
31448000,1,1,1,0,0,1,1,0,1,1,1,1,0
31952000,1,1,1,0,0,1,1,0,1,1,1,1,0
32456000,1,1,1,0,0,1,1,0,1,1,1,1,0
32960000,1,1,1,0,0,1,1,0,1,1,1,1,0
33464000,1,1,1,0,0,1,1,0,1,1,1,1,0
33968000,1,1,1,0,0,1,1,0,1,1,1,1,0
34472000,1,1,1,0,0,1,1,0,1,1,1,1,0
34976000,1,1,1,0,0,1,1,0,1,1,1,1,0
35480000,1,1,1,0,0,1,1,0,1,1,1,1,0
35984000,1,1,1,0,0,1,1,0,1,1,1,1,0
36488000,1,1,1,0,0,1,1,0,1,1,1,1,0
36992000,1,1,1,0,0,1,1,0,1,1,1,1,0
37496000,1,1,1,0,0,1,1,0,1,1,1,1,0
38000000,1,1,1,0,0,1,1,0,1,1,1,1,0
38504000,1,1,1,0,0,1,1,0,1,1,1,1,0
39008000,1,1,1,0,0,1,1,0,1,1,1,1,0
39512000,1,1,1,0,0,1,1,0,1,1,1,1,0
40016000,1,1,1,0,0,1,1,0,1,1,1,1,0
40520000,1,1,1,0,0,1,1,0,1,1,1,1,0
41024000,1,1,1,0,0,1,1,0,1,1,1,1,0
41528000,1,1,1,0,0,1,1,0,1,1,1,1,0
42032000,1,1,1,0,0,1,1,0,1,1,1,1,0
42536000,1,1,1,0,0,1,1,0,1,1,1,1,0
43040000,1,1,1,0,0,1,1,0,1,1,1,1,0
43544000,1,1,1,0,0,1,1,0,1,1,1,1,0
44048000,1,1,1,0,0,1,1,0,1,1,1,1,0
44552000,1,1,1,0,0,1,1,0,1,1,1,1,0
45056000,1,1,1,0,0,1,1,0,1,1,1,1,0
45560000,1,1,1,0,0,1,1,0,1,1,1,1,0
46064000,1,1,1,0,0,1,1,0,1,1,1,1,0
46568000,1,1,1,0,0,1,1,0,1,1,1,1,0
