timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
8104000,1665837572806057,473977508,85456074,488114,488114,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.01,3.4430108,0,nan,nan,3,0,1,10,0
8504000,1665837573202057,473977507,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5560346,0,nan,nan,3,0,1,10,0
8904000,1665837573606057,473977508,85456074,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.87249005,0,nan,nan,3,0,1,10,0
9304000,1665837574006057,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.03,5.923822,0,nan,nan,3,0,1,10,0
9704000,1665837574402057,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.8649306,0,nan,nan,3,0,1,10,0
10104000,1665837574806057,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,0.09721483,0,nan,nan,3,0,1,10,0
10504000,1665837575202057,473977508,85456075,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.7277749,0,nan,nan,3,0,1,10,0
10904000,1665837575606057,473977508,85456073,488112,488112,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.14468779,0,nan,nan,3,0,1,10,0
11304000,1665837576006057,473977508,85456074,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.0,1.7039648,0,nan,nan,3,0,1,10,0
11704000,1665837576398057,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.01,-0.04,2.1158626,0,nan,nan,3,0,1,10,0
11904000,1665837576606057,473977508,85456074,488114,488114,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,0.01,3.621907,0,nan,nan,3,0,1,10,0
12304000,1665837577006057,473977508,85456074,488108,488108,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.5852089,0,nan,nan,3,0,1,10,0
12704000,1665837577402057,473977508,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.172264,0,nan,nan,3,0,1,10,0
13104000,1665837577802057,473977508,85456074,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,2.879095,0,nan,nan,3,0,1,10,0
13504000,1665837578202057,473977508,85456074,488108,488108,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.6524777,0,nan,nan,3,0,1,10,0
13904000,1665837578606057,473977507,85456074,488118,488118,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,-0.03,-0.04,-0.06,4.0779614,0,nan,nan,3,0,1,10,0
14304000,1665837579006057,473977506,85456068,488205,488205,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14,-0.089999996,-0.13,-0.31,4.094542,0,nan,nan,3,0,1,10,0
14704000,1665837579406057,473977503,85456062,488359,488359,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.12,-0.08,-0.08,-0.52,3.928736,0,nan,nan,3,0,1,10,0
