timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
8472000,8472000,1310988,1310988,4.2610654e-06,-2.130529e-05,-5.3263175e-06,-0.0006943185,0.00076614524,-0.039671928,4000,4000,0,0,0
8972000,8972000,1310988,1310988,-9.587404e-06,-2.8762137e-05,5.3263147e-06,-0.0008810663,0.0006464352,-0.039743755,4000,4000,0,0,0
9472000,9472000,1310988,1310988,-4.2610463e-06,-2.556635e-05,-1.4913708e-05,-0.00062728085,0.00062249316,-0.039705448,4000,4000,0,0,0
9972000,9972000,1310988,1310988,-8.522115e-06,-2.4501087e-05,-6.3915827e-06,-0.00077572133,0.00069431926,-0.039695863,4000,4000,0,0,0
10472000,10472000,1310988,1310988,-5.326307e-06,-1.9174766e-05,-1.4913702e-05,-0.0008858547,0.0006560121,-0.03967672,4000,4000,0,0,0
10972000,10972000,1310988,1310988,-6.3915727e-06,-1.704424e-05,3.1957977e-06,-0.00064643443,0.0007422033,-0.03975812,4000,4000,0,0,0
11472000,11472000,1310988,1310988,-8.522112e-06,-7.4568575e-06,5.3181293e-13,-0.0008044519,0.0006703773,-0.03969108,4000,4000,0,0,0
11972000,11972000,1310988,1310988,-3.1957948e-06,-2.2370557e-05,-3.1957954e-06,-0.0006991069,0.0007086845,-0.03963841,4000,4000,0,0,0
12472000,12472000,1310988,1310988,1.0652655e-05,-2.130529e-05,-9.58737e-06,-0.00063685764,0.00063206995,-0.03978685,4000,4000,0,0,0
12972000,12972000,1310988,1310988,-7.4568484e-06,-2.024003e-05,-5.32631e-06,-0.00062728085,0.00060812803,-0.039671928,4000,4000,0,0,0
13472000,13472000,1310988,1310988,9.2678005e-05,-1.3848468e-05,5.3263734e-06,-0.000746991,0.00065601204,-0.040251326,4000,4000,0,0,0
13972000,13972000,1310988,1310988,-0.0001523328,-0.0003621899,1.91749e-05,-0.00058897375,0.00052672514,-0.04195121,4000,4000,0,0,0
14472000,14472000,1310988,1310988,-8.202529e-05,-0.00011824442,8.522139e-06,-0.00028730422,0.00053630193,-0.04161602,4000,4000,0,0,0
14972000,14972000,1310988,1310988,-2.5566342e-05,-2.9827419e-05,1.2783165e-05,-0.0004261679,0.00060812803,-0.041132387,4000,4000,0,0,0
15472000,15472000,1310988,1310988,-4.2610304e-06,-1.3848447e-05,1.2783175e-05,-0.00057939684,0.0005793976,-0.04082593,4000,4000,0,0,0
15972000,15972000,1310988,1310988,-1.8109531e-05,2.3435807e-05,2.024001e-05,-0.00060333894,0.00059376284,-0.040581726,4000,4000,0,0,0
16472000,16472000,1310988,1310988,-2.5566347e-05,5.326347e-06,2.0240022e-05,-0.00064643443,0.0005267252,-0.040361457,4000,4000,0,0,0
16972000,16972000,1310988,1310988,-5.0067392e-05,-8.309065e-05,9.587451e-06,-0.00073262583,0.00065601204,-0.040117245,4000,4000,0,0,0
17472000,17472000,1310988,1310988,-1.2783175e-05,-7.456851e-05,6.391599e-06,-0.00071347214,0.00076614524,-0.04012204,4000,4000,0,0,0
17972000,17972000,1310988,1310988,2.2370554e-05,1.7044258e-05,1.491368e-05,-0.0008571242,0.00080445263,-0.03989219,4000,4000,0,0,0
18472000,18472000,1310988,1310988,1.278317e-05,-2.4501105e-05,1.9174739e-05,-0.0008906431,0.0007852989,-0.03973896,4000,4000,0,0,0
18972000,18972000,1310988,1310988,1.0652651e-05,-1.065263e-05,1.704424e-05,-0.0008044519,0.0008283946,-0.039700653,4000,4000,0,0,0
19472000,19472000,1310988,1310988,-1.1717904e-05,-1.704424e-05,5.326319e-06,-0.00077093294,0.0006751657,-0.039815575,4000,4000,0,0,0
19972000,19972000,1310988,1310988,-4.1545314e-05,-2.9827399e-05,6.3916427e-06,-0.00072783744,0.00068474235,-0.033911478,4000,4000,0,0,0
20472000,20472000,1310988,1310988,2.2370541e-05,-4.3675853e-05,1.0652716e-06,-0.00069910695,0.00062728144,-0.035592202,4000,4000,0,0,0
20972000,20972000,1310988,1310988,-7.4568634e-06,1.2783166e-05,-6.3915904e-06,-0.00070389535,0.0005458787,-0.039432503,4000,4000,0,0,0
21472000,21472000,1310988,1310988,0.0014381072,-7.456469e-06,4.4111342e-10,-0.0005506664,0.00049799465,-0.03923139,4000,4000,0,0,0
21972000,21972000,1310988,1310988,0.000543285,-3.302313e-05,-7.457064e-06,-0.0005650316,-9.0978974e-05,-0.039992746,4000,4000,0,0,0
22472000,22472000,1310988,1310988,0.00016511598,1.3848439e-05,5.3263802e-06,-0.00062249246,-0.0011444278,-0.040892974,4000,4000,0,0,0
22972000,22972000,1310988,1310988,-0.00017363811,1.5978969e-05,1.0653923e-06,-0.00062728085,-0.002274491,-0.041299988,4000,4000,0,0,0
23472000,23472000,1310988,1310988,-0.00051771855,-7.456625e-06,1.3848851e-05,-0.00062728085,-0.0028969839,-0.038575385,4000,4000,0,0,0
23972000,23972000,1310988,1310988,-0.0007446199,-2.1305092e-05,7.4569216e-06,-0.00060812733,-0.0032273836,-0.038034294,4000,4000,0,0,0
24472000,24472000,1310988,1310988,-0.0008511463,-5.219819e-05,-1.1717747e-05,-0.0004788404,-0.0028538879,-0.038862683,4000,4000,0,0,0
24972000,24972000,1310988,1310988,-0.0006679209,-2.2370143e-05,-1.0652591e-06,-0.00044053316,-0.0018531115,-0.03963841,4000,4000,0,0,0
25472000,25472000,1310988,1310988,-0.0003685816,-5.7524147e-05,-1.2783239e-05,-0.00060333894,-0.0005841846,-0.040366247,4000,4000,0,0,0
25972000,25972000,1310988,1310988,2.7696884e-05,-7.563379e-05,-1.704423e-05,-0.00047884037,0.0006751657,-0.040375818,4000,4000,0,0,0
26472000,26472000,1310988,1310988,0.0004261058,-0.00010120016,4.2615084e-06,-0.00066079973,0.001733403,-0.039949656,4000,4000,0,0,0
26972000,26972000,1310988,1310988,0.00068176934,-9.054694e-05,5.3255308e-06,-0.00059855054,0.0025139125,-0.039446875,4000,4000,0,0,0
