timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
8264000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8768000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9272000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9776000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10280000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10784000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11288000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11792000,6440000,0,271155244,270630924,271548463,8264000,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12296000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12800000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13304000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13808000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14312000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14816000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15320000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15824000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16328000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16832000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17336000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17840000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18344000,6440000,0,271155244,270630924,271548463,8264000,11924000,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
