timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9288000,9284000,0.68863946,0.0014195868,-0.012830943,0.7249891,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
9788000,9784000,0.6896406,0.0012058779,-0.012862813,0.72403663,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
10288000,10284000,0.68980217,0.0011184576,-0.012816725,0.7238836,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
10788000,10784000,0.69065547,0.0010534404,-0.012733659,0.72307116,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
11288000,11284000,0.6911727,0.00094937877,-0.012490287,0.72258115,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
11788000,11784000,0.6914974,0.00092098414,-0.012376672,0.72227234,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
12288000,12284000,0.69188714,0.0008052327,-0.01209523,0.7219039,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
12788000,12784000,0.6925024,0.00060486654,-0.011960481,0.7213162,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
13288000,13284000,0.6926886,0.0005473076,-0.011918566,0.7211381,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
13788000,13784000,0.6927805,0.00043730915,-0.011957565,0.72104925,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
14288000,14284000,0.6925191,0.0044077965,-0.0067862724,0.7213541,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
14788000,14784000,0.6893902,7.793393e-05,0.006489235,0.72436124,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
15288000,15284000,0.69001704,-0.00012504315,-0.017635824,0.7235782,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
15788000,15784000,0.6905096,-0.00035818323,-0.023238467,0.7229498,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
16288000,16284000,0.6910631,-0.00054714264,-0.0212938,0.72248054,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
16788000,16784000,0.69108117,-0.00048638418,-0.017260619,0.72257084,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
17288000,17284000,0.69123966,-2.3832814e-05,-0.014552562,0.7224791,1.0,1.8626451e-09,2.3283064e-10,-5.5849552e-05,2
17788000,17784000,0.6927297,3.28702e-05,-0.013178103,0.72107697,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
18288000,18284000,0.69235945,0.00048927503,-0.0113576045,0.72146326,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
18788000,18784000,0.69171065,0.00065851404,-0.010476685,0.72209847,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
19288000,19284000,0.69223815,0.0006214697,-0.009254718,0.7216096,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
19788000,19784000,0.6921181,-0.00023548008,-0.008490944,0.7217343,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
20288000,20284000,0.6920969,-0.00073087285,-0.009942679,0.72173584,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
20788000,20784000,0.6924282,-0.0005049373,-0.010484628,0.72141045,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
21288000,21284000,0.69236314,-0.00083491195,-0.010459047,0.721473,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
21788000,21784000,0.69136006,-0.03650956,-0.046830125,0.7200662,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
22288000,22284000,0.6913534,-0.048205458,-0.059111066,0.7184794,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
22788000,22784000,0.69196254,-0.032067593,-0.04463698,0.71983826,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
23288000,23284000,0.6929645,0.0048252465,-0.009312076,0.7208954,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
23788000,23784000,0.6918126,0.04169921,0.025605481,0.7204172,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
24288000,24284000,0.68984914,0.06502019,0.04933964,0.7193373,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
24788000,24784000,0.6893707,0.070988126,0.056003455,0.7187437,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
25288000,25284000,0.6906873,0.05645289,0.04433508,0.71958214,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
25788000,25784000,0.69284153,0.024848418,0.01697736,0.72046167,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
26288000,26284000,0.6929853,-0.014339214,-0.018948244,0.72056,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
26788000,26784000,0.6912789,-0.04876703,-0.054322597,0.7188911,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
27288000,27284000,0.6893258,-0.07028518,-0.07755175,0.71685123,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
27788000,27784000,0.6888221,-0.07660139,-0.085941754,0.7157307,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
28288000,28284000,0.6904966,-0.06315664,-0.07698379,0.716449,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
28788000,28784000,0.69305533,-0.03397206,-0.0507875,0.7182902,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
29288000,29284000,0.69420826,0.004950868,-0.013322743,0.7196339,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
29788000,29784000,0.69304186,0.04211673,0.023374321,0.7192863,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
30288000,30284000,0.6908361,0.068102986,0.049745906,0.7180758,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
30788000,30784000,0.68990684,0.07725249,0.061425142,0.71713847,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
31288000,31284000,0.6910719,0.068826,0.056916315,0.71724695,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
31788000,31784000,0.6929808,0.042708013,0.03443371,0.71886575,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
