timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
9512000,9394000,0.000387776,0.00019043055,0.0011578441,1,0,0,0,0,0,0,0,0,0,0
10312000,10194000,0.0010747337,0.0003769168,0.0017689344,1,0,0,0,0,0,0,0,0,0,0
11512000,11394000,0.00038451212,0.0002442531,0.0019180822,1,0,0,0,0,0,0,0,0,0,0
12312000,12194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
13512000,13394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
14312000,14194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15512000,15394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
16312000,16194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17512000,17390000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
18312000,18194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19512000,19394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
20312000,20194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21512000,21394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
22312000,22194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23512000,23394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
24312000,24194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25512000,25394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
26312000,26194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27512000,27394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
28312000,28194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29512000,29394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
30312000,30194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31512000,31390000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
