timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
8528000,1900000,2,1310996,6620172,1310996,197388,0.017980786,0.017976273,0.018612536,nan,nan,nan,nan,nan,nan,1.0,0.0,-0.9672219,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
9536000,1900000,2,1310996,6620172,1310996,197388,0.0026177932,0.0026012948,0.0027817944,nan,nan,nan,nan,nan,nan,1.0,0.0,-0.9509039,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
10544000,1900000,2,1310996,6620172,1310996,197388,0.0038993675,0.0037475326,0.0040412857,nan,nan,nan,nan,nan,nan,1.0,0.0,-0.9373631,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
11552000,1900000,2,1310996,6620172,1310996,197388,0.0068590804,0.006868161,0.006710549,nan,nan,nan,nan,nan,nan,1.0,0.0,-0.9325868,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
11904000,11904000,3,1311004,6620172,1311004,197388,0.0068590804,0.006868161,0.006710549,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
12912000,11904000,3,1311004,6620172,1311004,197388,0.00095495174,0.0008935421,0.00087775674,nan,nan,nan,nan,nan,nan,0.014541365,0.00083912024,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
13920000,11904000,3,1311004,6620172,1311004,197388,0.0040360144,0.0041629868,0.004152569,nan,nan,nan,nan,nan,nan,0.03177697,0.012873199,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
14928000,11904000,3,1311004,6620172,1311004,197388,0.0055379407,0.006845247,0.00755196,nan,nan,nan,nan,nan,nan,0.0506385,0.03339541,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
15936000,11904000,3,1311004,6620172,1311004,197388,0.013395866,0.012839654,0.012338866,nan,nan,nan,nan,nan,nan,0.10948601,0.104198754,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
16944000,11904000,3,1311004,6620172,1311004,197388,0.017076816,0.015512332,0.0142724775,nan,nan,nan,nan,nan,nan,0.28908372,0.22202565,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
17952000,11904000,3,1311004,6620172,1311004,197388,0.009018792,0.0072527598,0.007050482,nan,nan,nan,nan,nan,nan,0.67883354,0.38659328,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
