timestamp,safety_switch_available,safety_off
8088000,1,1
9096000,1,1
10104000,1,1
11112000,1,1
12120000,1,1
13128000,1,1
14136000,1,1
15144000,1,1
16152000,1,1
17160000,1,1
18168000,1,1
19176000,1,1
20184000,1,1
21192000,1,1
22200000,1,1
23208000,1,1
24216000,1,1
25224000,1,1
26224000,1,1
27232000,1,1
28232000,1,1
29240000,1,1
30248000,1,1
31248000,1,1
32256000,1,1
33264000,1,1
34268000,1,1
35276000,1,1
36276000,1,1
37284000,1,1
38292000,1,1
39300000,1,1
40308000,1,1
41316000,1,1
42324000,1,1
43324000,1,1
44332000,1,1
45340000,1,1
46348000,1,1
47356000,1,1
48364000,1,1
49372000,1,1
50380000,1,1
51388000,1,1
52396000,1,1
53404000,1,1
54412000,1,1
55420000,1,1
56428000,1,1
57436000,1,1
58444000,1,1
59444000,1,1
60452000,1,1
61460000,1,1
62460000,1,1
63468000,1,1
64476000,1,1
65484000,1,1
66492000,1,1
67500000,1,1
68508000,1,1
69516000,1,1
70524000,1,1
71532000,1,1
72540000,1,1
73548000,1,1
74556000,1,1
75564000,1,1
76572000,1,1
77580000,1,1
78588000,1,1
79596000,1,1
80604000,1,1
81612000,1,1
82620000,1,1
83628000,1,1
84636000,1,1
85644000,1,1
86652000,1,1
87660000,1,1
88668000,1,1
89676000,1,1
90684000,1,1
91684000,1,1
92684000,1,1
93692000,1,1
94700000,1,1
95708000,1,1
96716000,1,1
97724000,1,1
98732000,1,1
99740000,1,1
100748000,1,1
101756000,1,1
102764000,1,1
103772000,1,1
104780000,1,1
105788000,1,1
106796000,1,1
107804000,1,1
108812000,1,1
109820000,1,1
110828000,1,1
111836000,1,1
112844000,1,1
113852000,1,1
114860000,1,1
115868000,1,1
116876000,1,1
117884000,1,1
118892000,1,1
119900000,1,1
120908000,1,1
121916000,1,1
122924000,1,1
123932000,1,1
124940000,1,1
125948000,1,1
126956000,1,1
127964000,1,1
128972000,1,1
129980000,1,1
130988000,1,1
131996000,1,1
133004000,1,1
134012000,1,1
135020000,1,1
136028000,1,1
137036000,1,1
138044000,1,1
139052000,1,1
140052000,1,1
141052000,1,1
142052000,1,1
143060000,1,1
144068000,1,1
145076000,1,1
146084000,1,1
147092000,1,1
148100000,1,1
149108000,1,1
150116000,1,1
151124000,1,1
152132000,1,1
153140000,1,1
154140000,1,1
155148000,1,1
156148000,1,1
157148000,1,1
158148000,1,1
159156000,1,1
160164000,1,1
161164000,1,1
162172000,1,1
163180000,1,1
164188000,1,1
165188000,1,1
166196000,1,1
167204000,1,1
168212000,1,1
169220000,1,1
170228000,1,1
171236000,1,1
172244000,1,1
173252000,1,1
174260000,1,1
175268000,1,1
176276000,1,1
177284000,1,1
178292000,1,1
179300000,1,1
180308000,1,1
181316000,1,1
182324000,1,1
183332000,1,1
184340000,1,1
185348000,1,1
186356000,1,1
187356000,1,1
188364000,1,1
189372000,1,1
190380000,1,1
191388000,1,1
192396000,1,1
193404000,1,1
194412000,1,1
195412000,1,1
196420000,1,1
197428000,1,1
198436000,1,1
199436000,1,1
200444000,1,1
201452000,1,1
202460000,1,1
203468000,1,1
204476000,1,1
205484000,1,1
206492000,1,1
207500000,1,1
208508000,1,1
209516000,1,1
210524000,1,1
211532000,1,1
212540000,1,1
213540000,1,1
214548000,1,1
215548000,1,1
216556000,1,1
217564000,1,1
218572000,1,1
219572000,1,1
220580000,1,1
221588000,1,1
222592000,1,1
