timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
9508000,1665836736744388,0,473977508,85456074,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.7790878,0,nan,nan,0.0,0,3,0,1,10
10308000,1665836737548388,0,473977507,85456074,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.7859954,0,nan,nan,0.0,0,3,0,1,10
11508000,1665836738744388,0,473977508,85456074,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,3.9234998,0,nan,nan,0.0,0,3,0,1,10
12308000,1665836739548388,0,473977508,85456074,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.04,4.550422,0,nan,nan,0.0,0,3,0,1,10
13508000,1665836740748388,0,473977508,85456074,488109,488109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.03,-0.01,0.01,3.438473,0,nan,nan,0.0,0,3,0,1,10
14308000,1665836741544388,0,473977508,85456074,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,4.1238637,0,nan,nan,0.0,0,3,0,1,10
15508000,1665836742748388,0,473977496,85456061,488340,488340,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14999999,-0.14,-0.08,-0.42999998,3.6674602,0,nan,nan,0.0,0,3,0,1,10
16308000,1665836743544388,0,473977492,85456059,488800,488800,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.01,0.03,-0.65,1.1807152,0,nan,nan,0.0,0,3,0,1,10
17504000,1665836744748388,0,473977500,85456070,489754,489754,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.12,0.08,0.06,-0.89,0.6829473,0,nan,nan,0.0,0,3,0,1,10
18308000,1665836745544388,0,473977506,85456079,490512,490512,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,0.08,0.07,-1.02,0.6803293,0,nan,nan,0.0,0,3,0,1,10
19508000,1665836746748388,0,473977511,85456089,491720,491720,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.01,0.04,-1.0699999,1.150521,0,nan,nan,0.0,0,3,0,1,10
20308000,1665836747544388,0,473977511,85456089,492552,492552,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,-0.01,-1.09,5.1665235,0,nan,nan,0.0,0,3,0,1,10
21508000,1665836748748388,0,473977508,85456086,493814,493814,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.02,-0.03,-0.77,4.0543995,0,nan,nan,0.0,0,3,0,1,10
22308000,1665836749544388,0,473977522,85456083,493948,493948,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.59999996,0.58,-0.04,-0.13,6.212325,0,nan,nan,0.0,0,3,0,1,10
23508000,1665836750748388,0,473977634,85456076,494005,494005,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.05,1.05,-0.02,0.0,6.2639866,0,nan,nan,0.0,0,3,0,1,10
24308000,1665836751544388,0,473977676,85456076,493985,493985,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.01,0.02,0.01,1.2168436,0,nan,nan,0.0,0,3,0,1,10
25508000,1665836752748388,0,473977570,85456087,494013,494013,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.76,-1.75,0.099999994,0.01,3.0836475,0,nan,nan,0.0,0,3,0,1,10
26308000,1665836753544388,0,473977435,85456096,494048,494048,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.78,-1.79,0.03,0.0,3.121696,0,nan,nan,0.0,0,3,0,1,10
27508000,1665836754748388,0,473977331,85456091,494093,494093,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.12,0.089999996,-0.08,-0.03,5.55451,0,nan,nan,0.0,0,3,0,1,10
28308000,1665836755544388,0,473977391,85456082,494109,494109,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.49,1.48,-0.099999994,0.03,6.215641,0,nan,nan,0.0,0,3,0,1,10
29508000,1665836756744388,0,473977594,85456072,494094,494094,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.78,1.78,-0.02,0.04,6.2711425,0,nan,nan,0.0,0,3,0,1,10
30308000,1665836757544388,0,473977684,85456075,494079,494079,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.56,0.56,0.07,0.03,0.12671089,0,nan,nan,0.0,0,3,0,1,10
31504000,1665836758744388,0,473977619,85456089,494065,494065,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.61,-1.5999999,0.089999996,0.0,3.0848694,0,nan,nan,0.0,0,3,0,1,10
32308000,1665836759544388,0,473977480,85456096,494046,494046,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.02,-2.02,0.04,0.01,3.1215212,0,nan,nan,0.0,0,3,0,1,10
33508000,1665836760744388,0,473977328,85456093,494025,494025,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.45,-0.47,-0.04,0.0,3.231826,0,nan,nan,0.0,0,3,0,1,10
34308000,1665836761544388,0,473977353,85456087,494027,494027,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.1,1.1,-0.049999997,0.0,6.233967,0,nan,nan,0.0,0,3,0,1,10
35508000,1665836762744388,0,473977545,85456079,494017,494017,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.99,1.9799999,-0.01,-0.03,6.274284,0,nan,nan,0.0,0,3,0,1,10
36304000,1665836763544388,0,473977662,85456076,494004,494004,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.0799999,1.0799999,-0.01,0.02,6.265383,0,nan,nan,0.0,0,3,0,1,10
37508000,1665836764744388,0,473977655,85456080,494029,494029,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.18,-1.18,0.049999997,-0.04,3.0986574,0,nan,nan,0.0,0,3,0,1,10
38308000,1665836765544388,0,473977534,85456084,494054,494054,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.99,-1.9799999,0.03,0.0,3.1222196,0,nan,nan,0.0,0,3,0,1,10
39508000,1665836766744388,0,473977351,85456086,494111,494111,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.97999996,-0.98999995,-0.02,-0.03,3.1616638,0,nan,nan,0.0,0,3,0,1,10
40308000,1665836767544388,0,473977335,85456084,494143,494143,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.57,0.56,-0.02,-0.01,6.2322216,0,nan,nan,0.0,0,3,0,1,10
41508000,1665836768744388,0,473977495,85456077,494174,494174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.02,2.02,-0.04,-0.01,6.2604957,0,nan,nan,0.0,0,3,0,1,10
42308000,1665836769544388,0,473977631,85456073,494153,494153,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.52,1.54,-0.01,0.03,6.270968,0,nan,nan,0.0,0,3,0,1,10
43508000,1665836770744388,0,473977681,85456073,494155,494155,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.68,-0.68,0.01,0.04,3.1166344,0,nan,nan,0.0,0,3,0,1,10
44308000,1665836771544388,0,473977584,85456075,494151,494151,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.8399999,-1.8399999,0.02,0.01,3.127979,0,nan,nan,0.0,0,3,0,1,10
45512000,1665836772752388,0,473977380,85456080,494128,494128,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.43,-1.4599999,0.03,0.02,3.1154127,0,nan,nan,0.0,0,3,0,1,10
46312000,1665836773552388,0,473977328,85456082,494158,494158,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.04,0.02,-0.04,0.5038765,0,nan,nan,0.0,0,3,0,1,10
47512000,1665836774752388,0,473977447,85456080,494159,494159,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.9,1.92,-0.03,0.04,6.2674775,0,nan,nan,0.0,0,3,0,1,10
48312000,1665836775552388,0,473977590,85456077,494145,494145,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.8299999,1.8499999,0.0,0.02,6.2823124,0,nan,nan,0.0,0,3,0,1,10
49512000,1665836776752388,0,473977692,85456076,494133,494133,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.16,-0.17,0.0,0.0,3.1951742,0,nan,nan,0.0,0,3,0,1,10
50308000,1665836777552388,0,473977627,85456076,494139,494139,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.54,-1.53,0.0,0.01,3.141418,0,nan,nan,0.0,0,3,0,1,10
51512000,1665836778752388,0,473977422,85456078,494133,494133,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.77,-1.77,0.01,-0.01,3.135833,0,nan,nan,0.0,0,3,0,1,10
