timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
32388000,32384000,1311004,250.0,0.48828125,49.804688,nan,nan,nan,nan,nan,nan,nan,nan,11.58733,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
38020000,38016000,1311004,250.0,0.48828125,64.94141,80.60051,nan,nan,nan,nan,nan,nan,nan,11.096469,11.096469,nan,0.0,0.0,0.0,0.0,0.0,0.0
39044000,39040000,1311004,250.0,0.48828125,72.75391,88.37891,nan,nan,nan,nan,nan,nan,nan,14.264306,14.264306,nan,0.0,0.0,0.0,0.0,0.0,0.0
40068000,40064000,1311004,250.0,0.48828125,72.75391,88.37891,nan,nan,nan,nan,nan,nan,nan,11.142021,11.142021,nan,0.0,0.0,0.0,0.0,0.0,0.0
45188000,45184000,1311004,250.0,0.48828125,72.75391,94.23828,nan,nan,nan,nan,nan,nan,nan,14.264306,14.264306,nan,0.0,0.0,0.0,0.0,0.0,0.0
50308000,50304000,1311004,250.0,0.48828125,73.73047,94.23828,nan,nan,nan,nan,nan,nan,nan,11.4665365,11.4665365,nan,0.0,0.0,0.0,0.0,0.0,0.0
51332000,51328000,1311004,250.0,0.48828125,72.75391,94.23828,nan,nan,nan,nan,nan,nan,nan,11.466537,11.466537,nan,0.0,0.0,0.0,0.0,0.0,0.0
57476000,57472000,1311004,250.0,0.48828125,67.87109,94.23828,nan,nan,nan,nan,nan,nan,nan,10.738155,10.738155,nan,0.0,0.0,0.0,0.0,0.0,0.0
63108000,63104000,1311004,250.0,0.48828125,67.87109,89.321365,nan,nan,nan,nan,nan,nan,nan,13.689846,13.689846,nan,0.0,0.0,0.0,0.0,0.0,0.0
64132000,64128000,1311004,250.0,0.48828125,65.91797,83.49609,33.691406,nan,nan,nan,nan,nan,nan,12.643919,12.643919,12.643919,0.0,0.0,0.0,0.0,0.0,0.0
65156000,65152000,1311004,250.0,0.48828125,65.91797,89.321365,57.128906,nan,nan,nan,nan,nan,nan,12.534832,12.534832,12.534832,0.0,0.0,0.0,0.0,0.0,0.0
66180000,66176000,1311004,250.0,0.48828125,65.91797,83.49609,60.546875,nan,nan,nan,nan,nan,nan,10.708752,10.708752,10.708752,0.0,0.0,0.0,0.0,0.0,0.0
66692000,66688000,1311004,250.0,0.48828125,64.94141,nan,nan,nan,nan,nan,nan,nan,nan,7.8297777,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
70276000,70272000,1311004,250.0,0.48828125,64.94141,83.49609,nan,nan,nan,nan,nan,nan,nan,14.264306,14.264306,nan,0.0,0.0,0.0,0.0,0.0,0.0
71300000,71296000,1311004,250.0,0.48828125,64.94141,nan,nan,nan,nan,nan,nan,nan,nan,10.417699,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
75396000,75392000,1311004,250.0,0.48828125,64.94141,nan,nan,nan,nan,nan,nan,nan,nan,11.932263,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
76420000,76416000,1311004,250.0,0.48828125,66.89453,83.49609,68.84766,nan,nan,nan,nan,nan,nan,11.320971,11.320971,11.320971,0.0,0.0,0.0,0.0,0.0,0.0
78468000,78464000,1311004,250.0,0.48828125,66.89453,nan,nan,nan,nan,nan,nan,nan,nan,9.21637,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
