timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
8820000,1,1,1,0,0,1,1,0,1,1,1,1,0
9324000,1,1,1,0,0,1,1,0,1,1,1,1,0
9828000,1,1,1,0,0,1,1,0,1,1,1,1,0
10332000,1,1,1,0,0,1,1,0,1,1,1,1,0
10836000,1,1,1,0,0,1,1,0,1,1,1,1,0
11340000,1,1,1,0,0,1,1,0,1,1,1,1,0
11844000,1,1,1,0,0,1,1,0,1,1,1,1,0
12348000,1,1,1,0,0,1,1,0,1,1,1,1,0
12852000,1,1,1,0,0,1,1,0,1,1,1,1,0
13356000,1,1,1,0,0,1,1,0,1,1,1,1,0
13860000,1,1,1,0,0,1,1,0,1,1,1,1,0
14364000,1,1,1,0,0,1,1,0,1,1,1,1,0
14868000,1,1,1,0,0,1,1,0,1,1,1,1,0
15372000,1,1,1,0,0,1,1,0,1,1,1,1,0
15876000,1,1,1,0,0,1,1,0,1,1,1,1,0
16380000,1,1,1,0,0,1,1,0,1,1,1,1,0
16884000,1,1,1,0,0,1,1,0,1,1,1,1,0
17388000,1,1,1,0,0,1,1,0,1,1,1,1,0
17892000,1,1,1,0,0,1,1,0,1,1,1,1,0
18396000,1,1,1,0,0,1,1,0,1,1,1,1,0
18900000,1,1,1,0,0,1,1,0,1,1,1,1,0
19404000,1,1,1,0,0,1,1,0,1,1,1,1,0
19908000,1,1,1,0,0,1,1,0,1,1,1,1,0
20412000,1,1,1,0,0,1,1,0,1,1,1,1,0
20916000,1,1,1,0,0,1,1,0,1,1,1,1,0
21420000,1,1,1,0,0,1,1,0,1,1,1,1,0
21924000,1,1,1,0,0,1,1,0,1,1,1,1,0
22428000,1,1,1,0,0,1,1,0,1,1,1,1,0
22932000,1,1,1,0,0,1,1,0,1,1,1,1,0
23436000,1,1,1,0,0,1,1,0,1,1,1,1,0
