timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
12320000,12240000,2.6779451,3.5801747,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
12328000,12248000,2.896614,3.7000241,-2.5132954,-1.2566583,-2.1207672e-05,1.2566159,2.513253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
13320000,13240000,1.8070928,3.8519633,-2.514525,-1.2575307,-0.00057400117,1.2559036,2.512123,-0.1252012,0.010494826,0.13168314,0.07087709,-0.0878539,-0.0566575,-0.14001246,-0.03669645,0.11045947,0.098127946,0.19993053,0.1998185,0.19995752,0.20015487,0.20013854
14320000,14240000,2.538623,3.5317173,-2.515515,-1.2586148,-0.0010252611,1.2559365,2.511824,-0.21298097,0.014971448,0.21381469,0.10826551,-0.15536132,-0.09342376,-0.2283155,-0.052967876,0.19020344,0.16493073,0.20013905,0.19966637,0.19965498,0.20011985,0.20041975
15320000,15240000,-2.8651063,3.5324595,-2.5149317,-1.2692428,-0.00027896592,1.2749102,2.530676,0.06929655,0.2733547,0.32455367,0.15031405,-0.00656271,-0.018217385,-0.0055592656,0.19347847,0.3029278,0.17119454,0.20854291,0.19956085,0.19132964,0.19495688,0.20560974
16320000,16240000,2.9494681,3.5439513,-2.525293,-1.2719967,0.0034751855,1.2746973,2.521812,-0.49842894,-0.1353486,0.33079025,0.23718692,-0.2780064,-0.1416587,-0.5029085,-0.2647858,0.25453874,0.31758758,0.20656879,0.19512095,0.19050203,0.19885501,0.20895314
17320000,17240000,1.6433365,3.3041296,-2.54437,-1.2527785,0.032561187,1.2704786,2.4883404,-0.5750124,-0.18823364,0.32098237,0.2352069,-0.30668655,-0.15507257,-0.56733465,-0.3160097,0.23542379,0.3303315,0.18711016,0.1778894,0.19835852,0.22216788,0.21447408
18320000,18240000,1.3374211,2.881919,-2.557054,-1.2322681,0.056120306,1.2622479,2.4582248,-0.44135982,-0.10165004,0.27295935,0.16583219,-0.25174063,-0.13005036,-0.43242395,-0.18992284,0.22018212,0.26629305,0.16488455,0.1615236,0.20959236,0.2483256,0.21567395
19320000,19240000,1.2800872,2.7977242,-2.5614629,-1.2296884,0.057917524,1.2565337,2.448751,-0.3243024,-0.03523496,0.22768384,0.10915578,-0.21205059,-0.11340348,-0.31509656,-0.09407991,0.20676778,0.20699711,0.15855114,0.15759492,0.21350075,0.25560424,0.21474898
20320000,20240000,1.3063325,2.820263,-2.5622783,-1.2360905,0.05194112,1.2564577,2.4519153,-0.14852212,0.058680736,0.20759071,0.101096325,-0.107250005,-0.048530802,-0.15094915,0.018144147,0.20176975,0.17028512,0.16091649,0.15866464,0.21168579,0.25321186,0.21552117
21320000,21240000,1.3354341,2.8429923,-2.562941,-1.2403181,0.048515186,1.257123,2.4542968,-0.1023352,0.067382984,0.20295918,0.12242415,-0.056225516,-0.043012157,-0.14071773,-0.005685265,0.15618819,0.14009261,0.16308661,0.15949291,0.20990498,0.25110555,0.21641004
